console,date,developer,genre,location,name,week_num,weekly_sales,year,month,week,weekday,total_tweets,year_of_release,time_difference,last_week_sales
WiiU,31 May 2014,Nintendo,Platform,USA,New Super Luigi U,41,10964,2014,6,23,6,0.0,2013-08-25 00:00:00,40.0,872763.0
WiiU,31 May 2014,Nintendo,Action,USA,New Super Mario Bros. U,81,10902,2014,6,22,6,0.0,1999-04-30 00:00:00,787.0,49527.0
PS4,30 Dec 2017,Square,Role-Playing,USA,NieR Automata,44,9053,2017,12,52,5,0.0,2017-03-07 00:00:00,42.0,7867.0
PS4,30 Dec 2017,Square,Role-Playing,USA,NieR Automata,44,9053,2018,1,4,6,0.0,2017-03-07 00:00:00,46.0,7867.0
WiiU,29 Mar 2014,Nintendo,Action,USA,Nintendo Land,72,7986,2014,4,16,6,0.0,2012-11-18 00:00:00,73.0,18046.0
XOne,28 May 2016,Namco Bandai,Fighting,USA,One Piece Burning Blood,1,19257,2016,6,23,6,0.0,2016-05-31 00:00:00,2.0,69150.0
PSV,05 Jul 2014,Namco Bandai,Action,USA,One Piece Unlimited World Red,1,13075,2014,7,28,6,0.0,2014-07-08 00:00:00,1.0,13075.0
XOne,28 May 2016,Activision,Shooter,USA,Overwatch,2,57896,2016,5,21,6,0.0,2016-05-24 00:00:00,0.0,81486.0
3DS,07 Dec 2013,Nintendo,Role-Playing,USA,Paper Mario,57,64808,2013,12,49,5,0.0,2001-02-05 00:00:00,669.0,0.0
3DS,07 Dec 2013,Nintendo,Role-Playing,USA,Paper Mario,57,64808,2014,1,1,6,0.0,2001-02-05 00:00:00,673.0,0.0
XOne,27 Feb 2016,Electronic,Shooter,USA,Plants vs. Zombies Garden Warfare 2,2,31180,2016,3,11,6,0.0,2016-02-23 00:00:00,3.0,20953.0
XOne,30 Dec 2017,Microsoft Game,Shooter,USA,PlayerUnknown s Battlegrounds,4,28246,2018,1,2,6,3000.0,2017-12-12 00:00:00,4.0,22056.0
3DS,23 Mar 2013,Nintendo,Role-Playing,USA,Pokemon Mystery Dungeon Gates to Infinity,1,92992,2013,3,13,6,0.0,2013-03-24 00:00:00,1.0,92992.0
3DS,16 Sep 2017,Nintendo,Role-Playing,USA,Pokemon Sun/Moon,45,8432,2017,9,37,6,0.0,2016-11-18 00:00:00,43.0,0.0
3DS,30 Dec 2017,Nintendo,Role-Playing,USA,Pokemon Ultra Sun and Ultra Moon,8,33499,2017,12,52,5,3500.0,2017-11-17 00:00:00,6.0,11048.0
3DS,30 Dec 2017,Nintendo,Role-Playing,USA,Pokemon Ultra Sun and Ultra Moon,8,33499,2018,1,4,6,3500.0,2017-11-17 00:00:00,10.0,11048.0
NS,30 Sep 2017,Namco Bandai,Fighting,USA,Pokken Tournament,3,13529,2017,10,42,6,0.0,2017-09-22 00:00:00,4.0,18048.0
PS4,16 Sep 2017,Namco Bandai,Racing,USA,Project CARS 2,1,7758,2017,10,39,6,0.0,2015-05-12 00:00:00,124.0,0.0
XOne,30 Apr 2016,Microsoft Game,Action,USA,Quantum Break,5,13349,2016,5,18,6,0.0,2016-04-05 00:00:00,4.0,178120.0
PS4,30 Apr 2016,Sony Computer,Platform,USA,Ratchet & Clank,4,21988,2016,5,17,6,0.0,2002-11-07 00:00:00,703.0,6049.0
0,09 Nov 2013,0,0,USA,Ratchet & Clank Into the Nexus,1,68891,2013,11,45,5,0.0,2013-11-12 00:00:00,0.0,0.0
0,09 Nov 2013,0,0,USA,Ratchet & Clank Into the Nexus,1,68891,2013,12,49,6,0.0,2013-11-12 00:00:00,4.0,0.0
PS4,15 Feb 2014,Ubisoft,Platform,USA,Rayman Legends,1,13082,2014,3,10,6,0.0,2013-09-03 00:00:00,26.0,0.0
PS4,26 Mar 2016,Capcom,Shooter,USA,Resident Evil 6,1,16304,2016,4,14,6,0.0,2009-05-28 00:00:00,358.0,0.0
PS4,24 Feb 2018,Capcom,Action,USA,Resident Evil VII Biohazard,58,8536,2018,3,9,6,22.0,2017-01-24 00:00:00,57.0,675300.0
3DS,27 Feb 2016,Xseed,Simulation,USA,Return to PopoloCrois A Story of Seasons,1,20105,2016,2,8,6,0.0,2016-03-01 00:00:00,0.0,0.0
NS,13 Jan 2018,505,Sports,USA,Rocket League,1,10036,2018,1,2,5,1500.0,2016-07-05 00:00:00,79.0,0.0
NS,13 Jan 2018,505,Sports,USA,Rocket League,1,10036,2018,2,6,6,1500.0,2016-07-05 00:00:00,83.0,0.0
WiiU,07 Nov 2015,Nippon Ichi,Action,USA,Rodea the Sky Soldier,1,37276,2015,11,48,6,0.0,2015-11-10 00:00:00,3.0,0.0
XOne,28 Dec 2013,Microsoft Game,Action,USA,Ryse Son of Rome,7,21908,2014,1,2,6,0.0,2013-11-22 00:00:00,7.0,12077.0
PSV,12 Mar 2016,Xseed,Action,USA,Senran Kagura Estival Versus,1,29980,2016,3,11,6,0.0,2016-03-15 00:00:00,1.0,29980.0
PS4,23 Sep 2017,Xseed,Action,USA,Senran Kagura Peach Beach Splash,1,11828,2017,9,38,6,0.0,2017-09-26 00:00:00,0.0,0.0
PS4,24 Feb 2018,Sony Computer,Action,USA,Shadow of the Colossus,4,9365,2018,2,8,5,3000.0,2018-02-06 00:00:00,2.0,14989.0
PS4,24 Feb 2018,Sony Computer,Action,USA,Shadow of the Colossus,4,9365,2018,3,12,6,3000.0,2018-02-06 00:00:00,6.0,14989.0
XOne,28 Jun 2014,505,Action,USA,Sniper Elite 3,1,26153,2014,7,29,6,0.0,2014-07-01 00:00:00,3.0,17598.0
PS4,04 Nov 2017,Sega,Platform,USA,Sonic Forces,1,23631,2017,11,46,6,0.0,2017-11-07 00:00:00,2.0,62076.0
WiiU,26 Oct 2013,Sega,Platform,USA,Sonic Lost World,1,28684,2013,11,44,6,0.0,2013-10-29 00:00:00,1.0,28684.0
XOne,28 Oct 2017,Ubisoft,Role-Playing,USA,South Park The Fractured But Whole,3,21479,2017,10,43,6,214.0,2017-10-17 00:00:00,1.0,33898.0
X360,29 Mar 2014,Ubisoft,Role-Playing,USA,South Park The Stick of Truth,5,13600,2014,3,13,5,0.0,2014-03-04 00:00:00,3.0,10146.0
X360,29 Mar 2014,Ubisoft,Role-Playing,USA,South Park The Stick of Truth,5,13600,2014,4,17,6,0.0,2014-03-04 00:00:00,7.0,10146.0
NS,30 Sep 2017,Nintendo,Shooter,USA,Splatoon 2,12,12930,2017,10,42,6,0.0,2015-05-29 00:00:00,125.0,17478.0
WiiU,30 Apr 2016,Nintendo,Shooter,USA,Star Fox Zero,3,10639,2016,5,19,6,0.0,2016-04-22 00:00:00,3.0,94565.0
XOne,30 Jan 2016,Electronic,Shooter,USA,Star Wars Battlefront 2015,12,19604,2016,2,5,6,0.0,2004-09-20 00:00:00,593.0,1590374.0
XOne,30 Dec 2017,Electronic,Shooter,USA,Star Wars Battlefront II 2017,8,18757,2017,12,52,6,2589.0,2005-11-01 00:00:00,634.0,25312.0
PC,23 Mar 2013,Activision,Strategy,USA,StarCraft II Heart of the Swarm,3,17706,2013,3,12,5,0.0,2013-03-12 00:00:00,1.0,0.0
PC,23 Mar 2013,Activision,Strategy,USA,StarCraft II Heart of the Swarm,3,17706,2013,4,16,6,0.0,2013-03-12 00:00:00,5.0,0.0
PC,07 Nov 2015,Activision,Strategy,USA,StarCraft II Legacy of the Void,1,84615,2015,11,48,6,0.0,2015-11-10 00:00:00,3.0,0.0
PS4,27 Feb 2016,Capcom,Fighting,USA,Street Fighter V,3,11487,2016,3,10,6,0.0,2000-10-24 00:00:00,802.0,34170.0
3DS,08 Jun 2013,Nintendo,Platform,USA,Super Mario 3D Land,83,7088,2013,6,24,6,0.0,2011-11-13 00:00:00,82.0,3510474.0
WiiU,30 Nov 2013,Nintendo,Platform,USA,Super Mario 3D World,3,69887,2013,12,48,6,0.0,2013-11-22 00:00:00,1.0,30272.0
NS,30 Dec 2017,Nintendo,Platform,USA,Super Mario Odyssey,11,43205,2017,12,52,5,3500.0,2017-10-27 00:00:00,9.0,282131.0
NS,30 Dec 2017,Nintendo,Platform,USA,Super Mario Odyssey,11,43205,2018,1,4,6,3500.0,2017-10-27 00:00:00,13.0,282131.0
XOne,17 Feb 2018,Namco Bandai,Role-Playing,USA,Sword Art Online Fatal Bullet,1,12475,2018,3,10,6,794.0,2018-02-23 00:00:00,3.0,31866.0
PS3,22 Feb 2014,Namco Bandai,Role-Playing,USA,Tales of Symphonia Chronicles,1,71484,2014,3,10,6,0.0,2014-02-25 00:00:00,2.0,18472.0
PS3,23 Aug 2014,Namco Bandai,Role-Playing,USA,Tales of Xillia 2,2,7862,2014,8,35,6,0.0,2014-08-19 00:00:00,1.0,69647.0
XOne,26 Apr 2014,Activision,Action,USA,The Amazing Spider-Man 2 2014,1,14634,2014,4,17,6,0.0,2012-06-26 00:00:00,95.0,16758.0
PC,29 Mar 2014,Bethesda,Action,USA,The Elder Scrolls Online,1,127377,2014,3,13,5,0.0,2014-04-04 00:00:00,0.0,11651.0
PC,29 Mar 2014,Bethesda,Action,USA,The Elder Scrolls Online,1,127377,2014,4,17,6,0.0,2014-04-04 00:00:00,4.0,11651.0
NS,27 Jan 2018,Bethesda,Role-Playing,USA,The Elder Scrolls V Skyrim,12,7321,2018,2,7,6,1500.0,2017-11-17 00:00:00,13.0,45407.0
PS4,17 Feb 2018,Bethesda,Role-Playing,USA,The Elder Scrolls V Skyrim PSVR,15,8599,2018,3,9,6,0.0,2017-11-17 00:00:00,15.0,46813.0
XOne,14 Oct 2017,Bethesda,Action,USA,The Evil Within II,2,11073,2017,10,42,6,40.0,2014-10-14 00:00:00,157.0,38877.0
0,30 Aug 2014,0,0,USA,The LEGO Movie Videogame,31,4436,2014,8,35,6,0.0,2014-02-07 00:00:00,29.0,5193.0
0,30 Sep 2017,0,0,USA,The Last of Us,167,6992,2017,9,39,5,0.0,2014-07-29 00:00:00,165.0,0.0
0,30 Sep 2017,0,0,USA,The Last of Us,167,6992,2017,10,43,6,0.0,2014-07-29 00:00:00,169.0,0.0
3DS,30 Nov 2013,Nintendo,Action,USA,The Legend of Zelda A Link Between Worlds,3,78923,2013,12,51,6,0.0,2013-11-22 00:00:00,4.0,21092.0
NS,30 Sep 2017,Nintendo,Action,USA,The Legend of Zelda Breath of the Wild,32,18524,2017,10,41,6,19.0,2017-03-03 00:00:00,32.0,35817.0
3DS,05 Mar 2016,Nintendo,Action,USA,The Legend of Zelda Ocarina of Time 3D,247,18626,2016,3,10,6,0.0,2011-06-19 00:00:00,246.0,1786007.0
WiiU,28 May 2016,Nintendo,Action,USA,The Legend of Zelda Twilight Princess HD,14,11473,2016,5,21,6,0.0,2016-03-04 00:00:00,12.0,225812.0
XOne,27 Jan 2018,Electronic,Simulation,USA,The Sims 4,12,7241,2018,1,4,5,2000.0,2003-03-24 00:00:00,774.0,23776.0
XOne,27 Jan 2018,Electronic,Simulation,USA,The Sims 4,12,7241,2018,2,8,6,2000.0,2003-03-24 00:00:00,778.0,23776.0
X360,23 Mar 2013,Activision,Misc,USA,The Walking Dead Survival Instinct,2,30978,2013,4,15,6,0.0,2013-03-19 00:00:00,3.0,16730.0
PS3,22 Mar 2014,Nippon Ichi,Role-Playing,USA,The Witch and the Hundred Knights,1,22917,2014,4,14,6,0.0,2014-03-25 00:00:00,2.0,0.0
3DS,13 Sep 2014,Square,Misc,USA,Theatrhythm Final Fantasy Curtain Call,1,26588,2014,9,38,6,0.0,2014-09-16 00:00:00,1.0,26588.0
XOne,06 Jan 2018,Electronic,Shooter,USA,Titanfall 2,64,8171,2018,1,1,6,500.0,2016-10-28 00:00:00,62.0,7553.0
XOne,30 Apr 2016,Ubisoft,Shooter,USA,Tom Clancy s The Division,9,26197,2016,4,17,5,0.0,2016-03-08 00:00:00,7.0,20349.0
XOne,30 Apr 2016,Ubisoft,Shooter,USA,Tom Clancy s The Division,9,26197,2016,5,21,6,0.0,2016-03-08 00:00:00,11.0,20349.0
X360,23 Nov 2013,Square,Action,USA,Tomb Raider,39,77376,2013,12,50,6,0.0,1996-11-14 00:00:00,891.0,25050.0
3DS,31 May 2014,Nintendo,Simulation,USA,Tomodachi Life,1,24140,2014,6,24,6,0.0,2014-06-06 00:00:00,2.0,11880.0
PS4,28 May 2016,Sony Computer,Shooter,USA,Uncharted 4 A Thief s End,4,40881,2016,6,22,6,0.0,2016-05-10 00:00:00,3.0,909645.0
PS4,30 Sep 2017,Sony Computer,Action,USA,Uncharted The Lost Legacy,7,8228,2017,10,39,6,0.0,2017-08-22 00:00:00,5.0,40892.0
PS4,31 Oct 2015,Sony Computer,Action,USA,Uncharted The Nathan Drake Collection,5,38068,2015,10,44,5,0.0,2015-10-07 00:00:00,3.0,10571.0
PS4,31 Oct 2015,Sony Computer,Action,USA,Uncharted The Nathan Drake Collection,5,38068,2015,11,48,6,0.0,2015-10-07 00:00:00,7.0,10571.0
XOne,28 Oct 2017,Bethesda,Shooter,USA,Wolfenstein II The New Colossus,2,24862,2017,11,46,6,20.0,2017-10-27 00:00:00,3.0,23836.0
XOne,31 May 2014,Bethesda,Shooter,USA,Wolfenstein The New Order,3,10443,2014,6,24,6,0.0,2014-05-20 00:00:00,3.0,12845.0
NS,30 Dec 2017,Nintendo,Role-Playing,USA,Xenoblade Chronicles 2,6,8991,2018,1,1,6,1000.0,2017-12-01 00:00:00,5.0,306426.0
3DS,23 Sep 2017,Level,Role-Playing,USA,Yokai Watch 2 Shinuchi,1,8576,2017,9,38,6,0.0,2017-09-29 00:00:00,0.0,0.0
3DS,29 Mar 2014,Nintendo,Action,USA,Yoshi s New Island,4,14559,2014,3,13,5,0.0,2014-03-14 00:00:00,2.0,8349.0
3DS,29 Mar 2014,Nintendo,Action,USA,Yoshi s New Island,4,14559,2014,4,17,6,0.0,2014-03-14 00:00:00,6.0,8349.0
WiiU,31 Oct 2015,Nintendo,Platform,USA,Yoshi s Woolly World,4,29216,2015,11,47,6,0.0,2015-10-16 00:00:00,5.0,33347.0
PS4,31 May 2014,Sony Computer,Action,USA,inFAMOUS Second Son,12,10160,2014,6,24,6,0.0,2014-03-21 00:00:00,12.0,51136.0
