,Name,Platform,Publisher,Chartz_Score,User_Score,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year_of_Release,Genre
596, Need for Speed: Most Wanted (2012)     ,Electronic Arts  ,Criterion Games  ,,,,2.74,0.71,1.52,0.06,0.45,30 Oct 12  ,Racing
597, Need for Speed (2015)     ,Electronic Arts  ,Ghost Games  ,,7.0  ,,2.73,0.59,1.67,0.06,0.41,03 Nov 15  ,Racing
598, L.A. Noire     ,Rockstar Games  ,Team Bondi  ,,9.1  ,,2.73,1.55,0.92,0.02,0.24,15 Nov 11  ,Adventure
599, Madden NFL 13     ,EA Sports  ,EA Tiburon  ,,8.3  ,,2.71,2.12,0.24,,0.36,28 Aug 12  ,Sports
600, Onimusha: Warlords     ,Capcom  ,Flagship  ,,8.7  ,7.3  ,2.70,0.99,0.48,1.09,0.14,13 Mar 01  ,Action
601, Mario Party     ,Nintendo  ,Hudson Soft  ,,7.6  ,,2.70,1.25,0.53,0.87,0.05,08 Feb 99  ,Misc
602, LEGO Star Wars II: The Original Trilogy     ,LucasArts  ,Traveller's Tales  ,,8.4  ,,2.69,1.85,0.64,0.01,0.19,12 Sep 06  ,Action
603, Burnout 3: Takedown     ,Electronic Arts  ,Criterion Games  ,,9.3  ,,2.68,1.23,1.11,,0.34,07 Sep 04  ,Racing
604, Mario vs. Donkey Kong: Mini-Land Mayhem!     ,Nintendo  ,Nintendo Software Technology Corporation  ,,7.8  ,,2.68,1.63,0.51,0.35,0.18,14 Nov 10  ,Puzzle
605, Call of Duty 2: Big Red One     ,Activision  ,Treyarch  ,,8.5  ,,2.67,1.48,0.92,0.01,0.26,01 Nov 05  ,Shooter
606, Halo Wars     ,Microsoft  ,Ensemble Studios  ,8.4  ,8.1  ,8.5  ,2.66,1.57,0.80,0.04,0.25,03 Mar 09  ,
607, Guitar Hero: World Tour     ,Activision  ,Neversoft Entertainment  ,,8.6  ,,2.66,1.78,0.64,,0.25,26 Oct 08  ,Misc
608, Final Fantasy XIII-2     ,Square Enix  ,Square Enix  ,,,,2.66,0.78,0.75,0.89,0.23,31 Jan 12  ,Misc
609, Hannah Montana     ,Buena Vista  ,DC Studios  ,,6.5  ,,2.65,1.59,0.80,,0.26,10 Oct 06  ,Misc
610, Tom Clancy's Splinter Cell     ,Ubisoft  ,Ubisoft  ,,,,2.65,1.15,1.11,,0.40,08 Apr 03  ,Shooter
611, Star Wars: Shadows of the Empire     ,Nintendo  ,LucasArts  ,,,,2.65,2.00,0.50,0.12,0.03,03 Dec 96  ,Action
612, NBA 2K12     ,2K Sports  ,Visual Concepts  ,,9.1  ,,2.64,2.32,0.14,0.01,0.17,04 Oct 11  ,Sports
613, NBA 2K13     ,2K Sports  ,Visual Concepts  ,,8.9  ,,2.63,1.74,0.46,0.05,0.39,02 Oct 12  ,Sports
614, Tekken: Dark Resurrection     ,Namco Bandai  ,8ing/Raizing  ,8.9  ,8.7  ,,2.62,0.76,1.10,0.12,0.65,25 Jul 06  ,Fighting
615, Super Mario All-Stars: Limited Edition     ,Nintendo  ,Nintendo EAD  ,,7.2  ,,2.62,1.04,0.52,0.92,0.14,12 Dec 10  ,Platform
616, Harry Potter and the Chamber of Secrets     ,Electronic Arts  ,Eurocom Entertainment Software  ,,,,2.61,0.90,1.22,0.04,0.44,14 Nov 02  ,Adventure
617, Streets of Rage     ,Sega  ,Sega  ,,,,2.60,1.86,0.55,0.11,0.08,31 Dec 90  ,Racing
618, LEGO Star Wars: The Complete Saga     ,LucasArts  ,Traveller's Tales  ,,,,2.59,1.53,0.83,,0.24,06 Nov 07  ,Action
619, FIFA Soccer 09     ,Electronic Arts  ,EA Canada  ,,8.6  ,,2.59,0.49,1.63,0.04,0.43,14 Oct 08  ,Sports
620, NBA Live 2005     ,EA Sports  ,EA Canada  ,,,,2.59,2.03,0.21,,0.35,28 Sep 04  ,Sports
621, Monster Hunter Freedom 2     ,Capcom  ,Capcom  ,,7.6  ,,2.58,0.37,0.27,1.75,0.18,29 Aug 07  ,Role-Playing
622, Skylanders Giants     ,Activision  ,Toys for Bob  ,,,,2.58,1.49,0.86,,0.23,21 Oct 12  ,Misc
623, Madden NFL 08     ,EA Sports  ,EA Tiburon  ,,,,2.57,2.14,0.08,,0.35,14 Aug 07  ,Sports
624, Ratchet & Clank Future: Tools of Destruction     ,Sony Computer Entertainment  ,Insomniac Games  ,8.8  ,8.9  ,,2.57,0.93,1.10,0.08,0.45,23 Oct 07  ,Platform
625, The Legend of Zelda: A Link to the Past     ,Nintendo  ,"Flagship Co., Ltd. / Nintendo EAD  ",,9.6  ,,2.70,1.75,0.52,0.33,0.10,03 Dec 02  ,Adventure
626, Madden NFL 12     ,EA Sports  ,EA Tiburon  ,,7.8  ,,2.70,2.43,0.11,,0.16,30 Aug 11  ,Sports
627, Call of Duty 3     ,Activision  ,Treyarch  ,,8.0  ,8.4  ,2.70,1.49,0.92,0.02,0.27,07 Nov 06  ,Shooter
628, Madden NFL 11     ,EA Sports  ,EA Tiburon  ,,8.3  ,,2.69,2.38,0.12,,0.19,10 Aug 10  ,Sports
629, Professor Layton and the Last Specter     ,Nintendo  ,Level 5  ,,8.4  ,,2.68,0.28,1.41,0.68,0.32,17 Oct 11  ,Puzzle
630, Mortal Kombat     ,Arena Entertainment  ,Probe Entertainment Limited  ,,,,2.67,1.95,0.63,,0.09,13 Sep 93  ,Fighting
631, Medal of Honor     ,Electronic Arts  ,DreamWorks Interactive  ,,9.3  ,,2.67,1.44,1.09,,0.14,11 Nov 99  ,Shooter
632, Fable     ,Microsoft  ,Big Blue Box  ,,8.6  ,,2.66,1.99,0.58,,0.09,14 Sep 04  ,Role-Playing
633, WWE SmackDown! Shut Your Mouth     ,THQ  ,Yuke's  ,,,,2.66,1.32,1.29,0.04,,31 Oct 02  ,Fighting
634, Medal of Honor Heroes     ,Electronic Arts  ,Team Fusion  ,,6.7  ,,2.66,0.86,1.11,0.01,0.67,20 Oct 06  ,Shooter
635, Need for Speed: Shift     ,Electronic Arts  ,Slightly Mad Studios  ,8.6  ,8.2  ,,2.65,0.69,1.40,0.04,0.52,15 Sep 09  ,
636, Super Mario Bros. 2 (FDS)     ,Nintendo  ,Nintendo EAD  ,,,,2.65,,,2.65,0.00,03 Jun 86  ,Platform
637, Medal of Honor     ,Electronic Arts  ,EA Los Angeles  ,7.2  ,7.3  ,,2.64,1.58,0.80,0.04,0.22,12 Oct 10  ,
638, Midnight Club: Street Racing     ,Rockstar Games  ,Angel Studios  ,,,,2.63,2.00,0.47,0.02,0.14,25 Oct 00  ,Racing
639, ESPN NFL 2K5     ,Sega  ,Visual Concepts  ,,,,2.62,2.15,0.12,,0.36,20 Jul 04  ,Sports
640, FIFA Soccer 10     ,EA Sports  ,EA Canada  ,9.0  ,8.9  ,,2.62,0.60,1.79,0.01,0.23,20 Oct 09  ,
641, LittleBigPlanet     ,Sony Computer Entertainment  ,SCEE Studios Cambridge  ,,8.8  ,,2.61,0.65,1.27,0.01,0.68,17 Nov 09  ,Platform
642, God of War Collection     ,Sony Computer Entertainment  ,Bluepoint Games  ,9.0  ,9.2  ,,2.60,1.70,0.45,0.06,0.40,17 Nov 09  ,Action
643, Diablo III     ,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,2.60,0.75,1.37,0.08,0.40,19 Aug 14  ,Role-Playing
644, Grand Theft Auto: Episodes from Liberty City     ,Rockstar Games  ,Rockstar North  ,,9.0  ,,2.59,1.07,1.22,0.03,0.27,29 Oct 09  ,Adventure
645, Mario Strikers Charged     ,Nintendo  ,Next Level Games  ,,7.7  ,,2.59,1.05,1.05,0.24,0.24,30 Jul 07  ,Sports
646, Style Savvy     ,Nintendo  ,syn Sophia  ,,7.6  ,,2.58,0.62,0.82,0.96,0.18,02 Nov 09  ,Simulation
647, WWE SmackDown vs. RAW 2007     ,THQ  ,Yuke's  ,,8.0  ,,2.58,1.40,0.88,0.03,0.26,14 Nov 06  ,Fighting
648, Ratchet & Clank: Up Your Arsenal     ,Sony Computer Entertainment  ,Insomniac Games  ,,9.1  ,,2.57,1.31,0.74,0.31,0.22,03 Nov 04  ,Action
649, NBA 2K14     ,2K Sports  ,Visual Concepts  ,,,,2.57,2.11,0.19,0.00,0.27,11 Oct 13  ,Sports
650, Sonic Adventure 2 Battle     ,Sega  ,Sonic Team  ,,6.8  ,,2.56,1.70,0.59,0.21,0.07,11 Feb 02  ,Platform
651, Dragon Warrior II     ,Enix  ,ChunSoft  ,,,,2.56,0.15,,2.41,0.00,01 Sep 90  ,Role-Playing
652, Yokai Watch     ,Nintendo  ,Level 5  ,,7.7  ,,2.55,0.44,0.68,1.34,0.09,06 Nov 15  ,Role-Playing
653, Pok�mon Colosseum     ,Nintendo  ,Genius Sonority Inc.  ,,7.0  ,,2.54,1.21,0.57,0.70,0.07,22 Mar 04  ,Role-Playing
654, Space Invaders     ,Atari  ,Atari  ,,,,2.53,2.36,0.14,,0.03,01 Jan 78  ,Shooter
655, Crazy Taxi     ,Acclaim Entertainment  ,Hitmaker  ,,8.2  ,,2.52,1.13,1.12,0.06,0.22,14 May 01  ,Racing
656, Dragon Warrior     ,Nintendo  ,ChunSoft  ,,,,2.52,0.49,,0.52,1.51,01 Aug 89  ,Role-Playing
657, Tom Clancy's The Division     ,Ubisoft  ,Massive Entertainment  ,,,,2.51,1.48,0.80,,0.23,08 Mar 16  ,Shooter
658, PES 2009: Pro Evolution Soccer     ,Konami  ,Konami  ,,,,2.50,0.13,0.07,0.26,2.05,11 Nov 08  ,Sports
659, Marvel: Ultimate Alliance     ,Activision  ,Raven Software  ,,8.3  ,,2.50,2.29,0.02,,0.19,24 Oct 06  ,Role-Playing
660, Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City     ,Rockstar Games  ,Rockstar North  ,,9.8  ,,2.49,1.84,0.56,,0.09,31 Oct 03  ,Action
661, Game Party     ,Midway Games  ,JGI Entertainment  ,,2.6  ,,2.49,1.47,0.77,,0.24,27 Nov 07  ,Misc
662, The Legend of Zelda: Majora's Mask 3D     ,Nintendo  ,GREZZO  ,,9.0  ,,2.49,1.18,0.64,0.48,0.18,13 Feb 15  ,Action-Adventure
663, Saints Row: The Third     ,THQ  ,Volition Inc.  ,,8.5  ,,2.48,0.86,1.06,0.18,0.37,15 Nov 11  ,Action
664, Pure     ,Disney Interactive Studios  ,Black Rock Studio  ,,8.3  ,,2.47,1.38,0.84,0.00,0.25,16 Sep 08  ,
665, Rock Band     ,MTV Games  ,Harmonix Music Systems  ,9.1  ,9.1  ,,2.47,1.93,0.33,,0.21,20 Nov 07  ,
666, Madden NFL 16     ,EA Sports  ,EA Tiburon  ,,8.4  ,,2.47,2.12,0.08,,0.26,25 Aug 15  ,Sports
667, Final Fantasy Tactics     ,Sony Computer Entertainment  ,SquareSoft  ,,8.8  ,,2.45,0.93,0.12,1.34,0.06,28 Jan 98  ,Role-Playing
668, LEGO Harry Potter: Years 1-4     ,Warner Bros. Interactive  ,Traveller's Tales  ,,7.9  ,,2.45,1.29,0.94,,0.22,29 Jun 10  ,Adventure
669, Madden NFL 17     ,EA Sports  ,EA Tiburon  ,,8.1  ,,2.44,2.14,0.05,,0.26,23 Aug 16  ,Sports
670, The Sims: Bustin' Out     ,Electronic Arts  ,Maxis  ,,,,2.43,1.07,1.19,,0.18,15 Dec 03  ,Simulation
671, Need for Speed Carbon: Own the City     ,Electronic Arts  ,EA Black Box  ,,7.4  ,,2.42,0.87,0.97,,0.58,31 Oct 06  ,Racing
672, Ice Hockey     ,Nintendo  ,Nintendo  ,,,,2.42,1.27,0.32,0.78,0.05,01 Mar 88  ,Sports
673, Tom Clancy's Rainbow Six: Vegas 2     ,Ubisoft  ,Ubisoft Montreal  ,,8.2  ,,2.42,1.56,0.61,0.02,0.23,18 Mar 08  ,Shooter
674, Kinect: Disneyland Adventures     ,Microsoft  ,Frontier Developments  ,6.8  ,8.5  ,,2.41,1.73,0.43,0.02,0.23,15 Nov 11  ,Misc
675, Hot Shots Golf     ,Sony Computer Entertainment  ,Camelot Software Planning  ,,,,2.56,0.26,0.17,2.13,,05 May 98  ,Sports
676, Dragon Age: Origins     ,Electronic Arts  ,BioWare Edmonton  ,8.3  ,8.5  ,,2.56,1.76,0.55,0.03,0.22,03 Nov 09  ,Role-Playing
677, Doom (2016)     ,Bethesda Softworks  ,id Software  ,,,,2.55,0.86,1.25,0.04,0.41,13 May 16  ,Shooter
678, FIFA 16     ,EA Sports  ,EA Canada  ,,9.0  ,,2.55,0.43,1.68,0.05,0.38,22 Sep 15  ,Sports
679, Madden NFL 09     ,EA Sports  ,EA Tiburon  ,,8.5  ,,2.54,2.21,0.12,,0.20,12 Aug 08  ,Sports
680, Art Academy     ,Nintendo  ,Headstrong Games  ,,6.8  ,,2.52,0.26,1.66,0.33,0.27,25 Oct 10  ,Action
681, Perfect Dark     ,Rare  ,Rare Ltd.  ,,9.7  ,,2.52,1.55,0.75,0.16,0.06,22 May 00  ,Shooter
682, Tomb Raider (2013)     ,Square Enix  ,Crystal Dynamics  ,,8.9  ,,2.51,0.60,1.45,0.08,0.38,05 Mar 13  ,Action
683, Deca Sports     ,Hudson Soft  ,CAProduction  ,,5.3  ,,2.50,1.11,0.86,0.29,0.25,13 May 08  ,Sports
684, Mario Party 2     ,Nintendo  ,Hudson Soft  ,,,,2.50,1.28,0.14,1.08,0.01,24 Jan 00  ,Misc
685, Midnight Club: Los Angeles     ,Rockstar Games  ,Rockstar San Diego  ,,8.3  ,,2.50,1.58,0.54,0.05,0.33,20 Oct 08  ,Racing
686, NBA 2K15     ,2K Sports  ,Visual Concepts  ,,,,2.49,1.49,0.55,0.01,0.44,07 Oct 14  ,Sports
687, Mortal Kombat: Deadly Alliance     ,Midway Games  ,Midway  ,,8.2  ,,2.49,1.81,0.52,,0.15,16 Nov 02  ,Action
688, Madden NFL 18     ,EA Sports  ,EA Tiburon  ,,8.2  ,,2.48,1.63,0.41,,0.45,25 Aug 17  ,Sports
689, Tomb Raider: The Last Revelation     ,Eidos Interactive  ,Core Design Ltd.  ,,,,2.48,1.15,1.14,0.06,0.13,22 Nov 99  ,Action
690, Mario Party 4     ,Nintendo  ,Hudson Soft  ,,7.0  ,,2.47,1.13,0.36,0.92,0.07,21 Oct 02  ,Misc
691, Resistance 2     ,Sony Computer Entertainment  ,Insomniac Games  ,8.7  ,8.5  ,8.7  ,2.47,1.15,0.84,0.10,0.38,04 Nov 08  ,
692, Minecraft     ,Sony Computer Entertainment America  ,4J Studios  ,,,,2.45,0.22,0.73,1.23,0.27,11 Nov 14  ,Misc
693, Final Fantasy V     ,Square  ,SquareSoft  ,,7.5  ,,2.45,,,2.43,0.02,06 Dec 92  ,Role-Playing
694, uDraw Studio     ,THQ  ,"Pipeworks Software, Inc.  ",,,,2.44,1.65,0.58,,0.21,14 Nov 10  ,Misc
695, Twisted Metal 2     ,Sony Computer Entertainment  ,SingleTrac  ,,8.7  ,,2.44,2.12,0.25,,0.07,31 Oct 96  ,Action
696, Riven: The Sequel to Myst     ,Red Orb  ,Cyan Worlds  ,,,,2.43,1.52,0.82,,0.10,29 Oct 97  ,Adventure
697, New Super Luigi U     ,Nintendo  ,Nintendo  ,,7.8  ,,2.42,1.25,0.75,0.22,0.20,25 Aug 13  ,Action
698, Sonic Adventure     ,Sega  ,Sonic Team  ,,8.9  ,,2.42,1.26,0.61,0.46,0.08,09 Sep 99  ,Platform
699, Dragon Ball Z: Budokai 2     ,Atari  ,Dimps Corporation  ,,,,2.41,1.63,0.22,0.51,0.06,04 Dec 03  ,Fighting
700, ATV Offroad Fury     ,Sony Computer Entertainment  ,Rainbow Studios  ,,8.4  ,,2.41,2.07,0.26,,0.08,05 Feb 01  ,Racing
701, Halo: Combat Evolved Anniversary     ,Microsoft  ,343 Industries  ,,8.0  ,,2.41,1.44,0.71,0.04,0.22,15 Nov 11  ,Shooter
702, Paper Mario: Sticker Star     ,Nintendo  ,Intelligent Systems  ,,,,2.40,1.12,0.49,0.64,0.15,11 Nov 12  ,Action-Adventure
703, Tetris Plus     ,Jaleco  ,Atlus Co.  ,,,,2.40,2.10,0.24,,0.07,18 Oct 96  ,Puzzle
704, Pro Wrestling     ,Nintendo  ,TRY Corporation  ,,,,2.40,0.77,0.18,1.42,0.03,01 Mar 87  ,Fighting
705, God of War: Ascension     ,Sony Computer Entertainment  ,SCE Studios Santa Monica  ,,,,2.40,1.23,0.72,0.04,0.41,12 Mar 13  ,Action
706, Madden NFL 11     ,EA Sports  ,EA Tiburon  ,,8.4  ,,2.40,2.05,0.15,,0.20,10 Aug 10  ,Sports
707, Frogger's Adventures: Temple of the Frog     ,Konami  ,Konami  ,,6.7  ,,2.39,2.15,0.18,,0.07,24 Oct 01  ,Adventure
708, Midnight Club: Los Angeles     ,Rockstar Games  ,Rockstar San Diego  ,,8.0  ,,2.39,1.71,0.45,0.01,0.22,20 Oct 08  ,Racing
709, Mortal Kombat II (US & Others sales)     ,Acclaim Entertainment  ,Probe Entertainment Limited  ,,,,2.39,1.78,0.53,,0.08,01 Jan 94  ,Fighting
710, Guitar Hero     ,RedOctane  ,Harmonix Music Systems  ,,8.0  ,,2.38,1.67,0.61,0.03,0.07,07 Nov 05  ,Misc
711, WCW/nWo Revenge     ,THQ  ,Aki Corp.  ,,,,2.38,1.94,0.39,0.03,0.02,26 Oct 98  ,Fighting
712, Half-Life 2     ,VU Games  ,Valve Software  ,,9.7  ,,2.37,2.28,0.02,0.08,,16 Nov 04  ,Shooter
713, The Incredibles     ,THQ  ,Heavy Iron Studios  ,,5.9  ,,2.37,0.96,1.08,0.04,0.30,31 Oct 04  ,Action
714, DriveClub     ,Sony Computer Entertainment  ,Evolution Studios  ,5.8  ,7.2  ,,2.37,0.37,1.62,0.02,0.36,07 Oct 14  ,
715, Guild Wars 2     ,NCSoft  ,ArenaNet  ,,,,2.37,1.00,1.11,,0.25,28 Aug 12  ,Role-Playing
716, Dying Light     ,Warner Bros. Interactive  ,Techland  ,,,,2.35,1.10,0.75,0.13,0.38,27 Jan 15  ,Misc
717, Dragon Quest Monsters     ,Eidos Interactive  ,TOSE  ,,,,2.35,,,2.34,0.01,31 Dec 99  ,Strategy
718, WWE SmackDown vs Raw 2008     ,THQ  ,Yuke's Media Creations  ,,,,2.34,0.92,0.00,0.01,1.41,13 Nov 07  ,Fighting
719, Lego Marvel Super Heroes     ,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,,2.34,1.26,0.87,,0.20,22 Oct 13  ,Action
720, Kinect Sports: Season Two     ,Microsoft  ,Rare Ltd.  ,,6.6  ,,2.33,1.38,0.72,0.02,0.21,25 Oct 11  ,Misc
721, Madden NFL 25     ,EA Sports  ,EA Tiburon  ,,7.8  ,,2.33,2.02,0.07,,0.25,27 Aug 13  ,Sports
722, Mario Tennis     ,Nintendo  ,Camelot Software Planning  ,,8.8  ,,2.32,0.78,0.40,1.06,0.07,28 Aug 00  ,Sports
723, James Bond 007: Everything or Nothing     ,Electronic Arts  ,EA Redwood Shores  ,,,,2.31,0.85,1.06,0.09,0.32,17 Feb 04  ,Shooter
724, Chrono Trigger     ,Square  ,SquareSoft  ,,8.8  ,10.0  ,2.31,0.28,,2.02,0.01,27 Sep 95  ,Role-Playing
725, Pro Evolution Soccer 2011     ,Konami  ,Konami  ,,6.0  ,,2.41,0.29,1.18,0.54,0.41,05 Oct 10  ,Sports
726, Dino Crisis     ,Capcom  ,Capcom Production Studio 4  ,,8.9  ,,2.41,0.81,0.76,0.70,0.14,31 Aug 99  ,Action
727, Need for Speed: ProStreet     ,Electronic Arts  ,EA Black Box  ,,,,2.41,0.69,0.00,0.04,1.68,13 Nov 07  ,Racing
728, NBA 2K16     ,2K Sports  ,Visual Concepts  ,,8.3  ,,2.40,2.01,0.15,,0.25,29 Sep 15  ,Sports
729, Forza Motorsport 5     ,Microsoft Game Studios  ,Turn 10 Studios  ,,,,2.40,1.28,0.90,0.01,0.21,22 Nov 13  ,Racing
730, Theme Hospital     ,Electronic Arts  ,Bullfrog Productions  ,,5.5  ,,2.40,2.30,0.10,,,31 Mar 97  ,Strategy
731, Overwatch     ,Blizzard Entertainment  ,Blizzard Entertainment  ,,8.7  ,,2.40,1.43,0.75,,0.22,24 May 16  ,Shooter
732, Batman: Arkham Origins     ,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,,,,2.40,1.08,0.88,0.04,0.40,25 Oct 13  ,Misc
733, Zumba Fitness     ,Majesco  ,"Pipeworks Software, Inc.  ",,,,2.39,1.74,0.45,,0.20,18 Nov 10  ,Misc
734, Monopoly     ,Hasbro Interactive  ,Unknown  ,,,,2.39,1.49,0.81,,0.10,01 Jan 95  ,Misc
735, Mario Party: Island Tour     ,Nintendo  ,"Nd Cube Co., Ltd.  ",,,,2.39,0.66,1.03,0.56,0.14,22 Nov 13  ,Misc
736, Dead Island     ,Deep Silver  ,Techland  ,,7.0  ,,2.38,1.48,0.70,,0.21,06 Sep 11  ,Action
737, Yu-Gi-Oh! The Duelists of the Roses     ,Konami  ,Konami  ,,,,2.38,1.16,0.91,,0.30,16 Feb 03  ,Strategy
738, Madden NFL 08     ,EA Sports  ,EA Tiburon  ,,8.7  ,,2.37,2.18,0.01,,0.18,14 Aug 07  ,Sports
739, Tony Hawk's Underground 2     ,Activision  ,Neversoft Entertainment  ,,,,2.37,1.25,0.86,0.01,0.26,04 Oct 04  ,Sports
740, Madden NFL 10     ,EA Sports  ,EA Tiburon  ,8.6  ,8.5  ,,2.37,2.03,0.13,,0.21,14 Aug 09  ,
741, Kirby's Dream Land 2     ,Nintendo  ,HAL Laboratory  ,,,,2.36,0.69,0.14,1.48,0.05,01 May 95  ,Platform
742, Donkey Kong Land 2     ,Nintendo  ,Rare Ltd.  ,,,,2.35,1.39,0.48,0.40,0.08,01 Sep 96  ,Platform
743, LEGO Indiana Jones: The Original Adventures     ,LucasArts  ,Traveller's Tales  ,,7.8  ,,2.35,1.51,0.62,,0.22,03 Jun 08  ,Adventure
744, Resident Evil - Code: Veronica X     ,Capcom  ,Capcom  ,,8.4  ,,2.34,1.08,0.70,0.34,0.21,21 Aug 01  ,Action
745, Dragon Age: Inquisition     ,Electronic Arts  ,BioWare  ,,,,2.34,1.07,0.80,0.08,0.38,18 Nov 14  ,Role-Playing
746, Sonic's Ultimate Genesis Collection     ,Sega  ,Backbone Entertainment  ,,8.1  ,,2.33,1.38,0.62,,0.33,10 Feb 09  ,Misc
747, My Fitness Coach     ,Ubisoft  ,Ubisoft  ,,7.1  ,,2.32,1.18,0.90,,0.24,02 Dec 08  ,Sports
748, Grand Theft Auto     ,Take-Two Interactive  ,DMA Design  ,,6.0  ,,2.32,0.79,1.35,0.04,0.14,30 Jun 98  ,Action
749, Need for Speed: High Stakes     ,Electronic Arts  ,EA Canada  ,,,,2.31,1.58,0.64,,0.09,01 Mar 99  ,Racing
750, Cool Boarders 3     ,989 Studios  ,Idol Minds Digital Entertainment  ,,,,2.31,1.65,0.46,0.10,0.10,28 Oct 98  ,Sports
751, The Sims 3     ,Electronic Arts  ,The Sims Studio  ,,8.0  ,,2.31,1.28,0.82,0.00,0.20,26 Oct 10  ,Simulation
752, Yokai Watch Busters     ,Level 5  ,Level 5  ,,,,2.30,,,2.30,,11 Jul 15  ,Role-Playing
753, WarioWare Touched!     ,Nintendo  ,Intelligent Systems  ,,7.8  ,,2.30,0.51,0.45,1.21,0.13,14 Feb 05  ,Puzzle
754, Dead Island     ,Deep Silver  ,Techland  ,,6.7  ,,2.29,1.08,0.74,0.15,0.32,06 Sep 11  ,Action
755, Need for Speed Underground 2     ,Electronic Arts  ,EA Black Box  ,,,,2.28,1.38,0.80,,0.10,15 Nov 04  ,Racing
756, Mario Bros.     ,Nintendo  ,Nintendo R&D1;  ,,,,2.28,0.51,0.12,1.63,0.02,01 Jun 86  ,Platform
757, Pok�mon Ranger: Shadows of Almia     ,Nintendo  ,HAL Laboratory  ,,6.7  ,,2.28,0.94,0.54,0.62,0.18,10 Nov 08  ,Role-Playing
758, Star Wars Battlefront II (US sales)     ,LucasArts  ,Pandemic Studios  ,,,,2.27,2.18,0.07,,0.02,01 Nov 05  ,Shooter
759, Madden NFL 12     ,EA Sports  ,EA Tiburon  ,,7.8  ,,2.27,1.93,0.15,,0.18,30 Aug 11  ,Sports
760, Wario Land 4     ,Nintendo  ,Nintendo R&D1;  ,,,,2.26,0.90,0.73,0.54,0.09,18 Nov 01  ,Platform
761, Onimusha 2: Samurai's Destiny     ,Capcom  ,Capcom  ,,8.5  ,,2.25,0.62,0.44,1.06,0.13,28 Aug 02  ,Adventure
762, Paper Mario: The Thousand-Year Door     ,Nintendo  ,Intelligent Systems  ,,9.0  ,,2.25,1.48,0.25,0.46,0.06,11 Oct 04  ,Role-Playing
763, Just Dance Kids     ,Ubisoft  ,Ubisoft Paris  ,,,,2.25,1.52,0.54,,0.19,09 Nov 10  ,Misc
764, Call of Duty 3     ,Activision  ,EXAKT Entertainment  ,,6.8  ,7.3  ,2.24,1.17,0.84,,0.23,14 Nov 06  ,Shooter
765, Sonic Advance     ,Sega  ,Dimps Corporation / Sonic Team  ,,,,2.24,1.19,0.71,0.22,0.13,04 Feb 02  ,Platform
766, Spyro: Season of Ice     ,Vivendi Games  ,Digital Eclipse  ,,,,2.23,1.29,0.83,,0.11,29 Oct 01  ,Platform
767, Dance Dance Revolution X2     ,Konami  ,Konami Computer Entertainment Tokyo  ,,,,2.23,1.09,0.85,,0.28,27 Oct 09  ,Simulation
768, Prince of Persia: The Sands of Time     ,Ubisoft  ,Ubisoft Montreal  ,,9.0  ,9.1  ,2.22,0.88,1.03,,0.31,06 Nov 03  ,Adventure
769, Star Wars: The Force Unleashed     ,LucasArts  ,LucasArts  ,,6.8  ,,2.22,1.01,0.86,,0.35,16 Sep 08  ,Shooter
770, Classic NES Series: Super Mario Bros.     ,Nintendo  ,Nintendo EAD  ,,8.3  ,,2.22,0.61,0.21,1.39,,02 Jun 04  ,Puzzle
771, Guitar Hero II     ,RedOctane  ,Harmonix Music Systems  ,,9.2  ,,2.21,2.01,0.02,,0.17,03 Apr 07  ,Misc
772, LEGO Indiana Jones: The Original Adventures     ,LucasArts  ,Traveller's Tales  ,,,,2.20,1.40,0.60,,0.21,03 Jun 08  ,Adventure
773, Frogger     ,Parker Bros.  ,Konami  ,,,,2.20,2.06,0.12,,0.02,01 Jan 82  ,Action
774, R.B.I. Baseball     ,Tengen  ,Namco  ,,,,2.20,0.15,,2.05,,01 Jan 88  ,Sports
775, Assassin's Creed IV: Black Flag     ,Ubisoft  ,Ubisoft Montreal  ,,8.3  ,,2.31,1.50,0.59,,0.22,22 Nov 13  ,Action-Adventure
776, LEGO Star Wars: The Complete Saga     ,LucasArts  ,Traveller's Tales  ,,8.0  ,,2.31,1.02,0.93,,0.36,06 Nov 07  ,Action
777, Mario & Luigi: Dream Team     ,Nintendo  ,Unknown  ,,,,2.31,0.95,0.73,0.47,0.16,11 Aug 13  ,Role-Playing
778, Ratchet & Clank (2016)     ,Sony Computer Entertainment  ,Insomniac Games  ,,,,2.30,0.87,1.00,0.06,0.37,12 Apr 16  ,Platform
779, LEGO Harry Potter: Years 1-4     ,Warner Bros. Interactive  ,Traveller's Tales  ,,8.0  ,,2.29,1.07,1.00,,0.22,29 Jun 10  ,Adventure
780, Tomb Raider II     ,Eidos Interactive  ,Core Design Ltd.  ,,8.2  ,,2.29,0.91,1.25,,0.13,31 Oct 97  ,Action
781, Pro Evolution Soccer 2010     ,Konami  ,Konami  ,,7.0  ,,2.28,0.30,1.27,0.46,0.26,03 Nov 09  ,Sports
