,Name,Platform,Publisher,Chartz_Score,User_Score,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year_of_Release,Genre
39, Brain Age 2: More Training in Minutes a Day     ,Nintendo  ,Nintendo SDD  ,,8.0  ,,15.29,3.43,5.36,5.32,1.18,20 Aug 07  ,Misc
40, Call of Duty: Black Ops 3     ,Activision  ,Treyarch  ,,,,15.01,6.10,6.07,0.41,2.43,06 Nov 15  ,Shooter
41, Gran Turismo 3: A-Spec     ,Sony Computer Entertainment  ,Polyphony Digital  ,,9.3  ,,14.98,6.85,5.09,1.87,1.16,09 Jul 01  ,Racing
42, Call of Duty: Black Ops     ,Activision  ,Treyarch  ,,8.8  ,,14.74,9.76,3.73,0.11,1.14,09 Nov 10  ,Shooter
43, Pok�mon Yellow: Special Pikachu Edition     ,Nintendo  ,Game Freak  ,,8.7  ,,14.64,5.89,5.04,3.12,0.59,19 Oct 99  ,Role-Playing
44, Call of Duty: Black Ops II     ,Activision  ,Treyarch  ,,,,13.80,4.99,5.88,0.65,2.28,13 Nov 12  ,Shooter
45, Call of Duty: Modern Warfare 3     ,Activision  ,Infinity Ward  ,,8.8  ,,13.35,5.54,5.78,0.49,1.54,08 Nov 11  ,Shooter
46, Super Smash Bros. Brawl     ,Nintendo  ,Project Sora  ,9.2  ,9.2  ,9.6  ,12.91,6.64,2.57,2.67,1.03,09 Mar 08  ,
47, Call of Duty: Black Ops     ,Activision  ,Treyarch  ,,8.7  ,,12.67,6.01,4.40,0.48,1.78,09 Nov 10  ,Shooter
48, Animal Crossing: Wild World     ,Nintendo  ,Nintendo EAD  ,,8.5  ,,12.14,2.50,3.46,5.33,0.86,05 Dec 05  ,Simulation
49, Super Mario 64     ,Nintendo  ,Nintendo EAD  ,,9.7  ,,11.89,6.91,2.85,1.91,0.23,26 Sep 96  ,Platform
50, Super Mario Galaxy     ,Nintendo  ,Nintendo EAD Tokyo  ,9.6  ,9.7  ,9.6  ,11.40,6.06,3.37,1.20,0.76,12 Nov 07  ,
51, Super Mario Land 2: 6 Golden Coins     ,Nintendo  ,Nintendo R&D1;  ,,9.0  ,,11.18,6.16,2.04,2.69,0.29,02 Nov 92  ,Platform
52, New Super Mario Bros. 2     ,Nintendo  ,Nintendo  ,,7.5  ,,11.03,3.83,3.92,2.59,0.69,19 Aug 12  ,Platform
