0,1,2,3,4
Kojima Productions  ,BR,South America,-23.65952,-46.42869
Square Enix  ,US,North America,36.42357,-97.91292
Level 5  ,HU,Europe,46.46464,19.98958
Office Create  ,GB,Europe,53.05152,-2.37717
Turn 10 Studios  ,AU,Australia,-37.74388,144.74642
Bluepoint Games  ,US,North America,31.41149,-97.70975
Next Level Games  ,US,North America,37.2404,-76.75879
Core Design Ltd.  ,US,North America,33.96356,-84.24331
Level 5 / Armor Project  ,HU,Europe,47.89827,17.20443
Microsoft  ,GB,Europe,51.46186,-0.92733
Lionhead Studios  ,CA,North America,43.8085,-79.16695
Unknown  ,ID,Asia,-7.467481,112.434968
Neversoft Entertainment  ,US,North America,33.64773,-117.74326
Insomniac Games  ,US,North America,27.04974,-82.08837
SCE Studios Santa Monica  ,US,North America,26.47764,-97.796754
Radical Entertainment  ,US,North America,36.32501,-81.1885
Harmonix Music Systems  ,US,North America,43.75982,-120.33732
Pumpkin Studios  ,US,North America,30.18757,-94.74164
BudCat Creations  ,IT,Europe,45.83388,13.17296
ChunSoft  ,TH,Asia,16.53493,104.73016
Guerrilla Games  ,BR,South America,-12.31903,-39.30614
Turn 10 Studio  ,TR,Asia,38.42848,27.41627
Vicarious Visions  ,MX,North America,20.66378,-101.36048
Neversoft  ,DE,Europe,54.87057,8.72236
Activision  ,GB,Europe,54.69715,-5.85043
Bethesda Softworks  ,CH,Europe,47.02713,7.07355
High Moon Studios  ,US,North America,34.17649,-84.7791
Ready at Dawn  ,US,North America,34.910301,-102.199402
KCEJ / Kojima Productions  ,BA,Europe,45.05094,16.37836
SCEE London Studio  ,GB,Europe,51.59042,-0.22118
Capcom / Dimps Corporation  ,BR,South America,-23.66433,-46.78053
Stormfront Studios  ,GB,Europe,51.49718,-0.19355
Heart Beat  ,US,North America,33.9232,-80.46775
Konami Computer Entertainment Tokyo  ,TR,Asia,38.07703,30.16532
Ubisoft Montpellier  ,CA,North America,45.853187,-75.164536
Mass Media  ,US,North America,39.920341,-75.386992
Team Fusion  ,US,North America,39.89472,-84.22873
Obsidian Entertainment  ,US,North America,25.95545,-97.47448
Cat Daddy Games  ,US,North America,33.94484,-78.43201
Certain Affinity / Valve Software  ,FR,Europe,47.82102,2.73083
Evolution Studios  ,MX,North America,21.24255,-104.90688
AlphaDream Corporation  ,ES,Europe,36.85104,-2.43942
Konami  ,US,North America,36.0704,-115.14984
Millenium Interactive  ,PL,Europe,52.0326,20.94984
